date,page,title,tenure,location,salary,industry,education,prior_experience,signing_bonus,stock_or_bonus,total_comp,extra_col,tenure_clean,location_clean,salary_pre_clean,salary_clean,salary_currency,FX,salary_usd
2021,1,data scientist,2.5 years in current role,seattle,$203k,faang/tech,masters economics,5 years . interned at the retail company for 2 semesters of masters before being hired full time.,relo fully handled plus three months rent  and bd $20k signing bonus.,"stock and bonus: $400k initial sign on equity grant, ~$100k rsu grants per year, 15% annual bonus. equity on 4 year equal vesting starting immediately.","current stock price ~$350k, 6 month a ago stock price ~$450k 😅.",,2.5,"seattle, us",$203k,203000.0,USD,1.0,203000.0
2021,1,analytics solutions architecture lead,3 yrs,major metro area,135k,agency,bachelors - non computer science,10 years as analyst,na,have had a few spot bonuses,145k,,3.0,major metro area,135k,135000.0,USD,1.0,135000.0
2021,1,associate data scientist,< 1 year,chicago,"$96,000","large corporation in tech, not faang",ms data science,almost a year as a data analyst for an internship,"$10,000 signing",none,"$106,000",,1.0,"chicago, us","$96,000",96000.0,USD,1.0,96000.0
2021,1,product owner will transition into associate data scientist within a year,1 year 3 months,nj / remote,$100k,big pharma,finish my ms in data science july 2022,4yrs split between finance and real estate analytics,0,0,~$100k,,0.08333333333333333,"new jersey, us",$100k,100000.0,USD,1.0,100000.0
2021,1,data analyst and project manager,"3 years total, .5 with current company",twin cities,$80k,small education nonprofit,bs in me from ivy,2.5 years in marketing data science/analytics,,,,,3.0,twin cities,$80k,80000.0,USD,1.0,80000.0
2021,1,machine learning engineer,2 months,"atlanta, ga us","80k, renegotiate after probationary period.",cybersecurity,"bs mathematics cs minor, ms computational stats in progress.",2 years research in undergrad .,relocation/signing: n/a,stock/bonuses: up for negotiation after probationary period,80k,,0.16666666666666666,"atlanta, us",80k,80000.0,USD,1.0,80000.0
2021,1,data specialist,1 yr,medium col,$86k,biomanufacturing,"b.s. bioengineering, half way done online masters of analytics","1 yr fermentation operator, 3 years process engineer",stock and/or recurring bonuses: 5% bonus 5% profit sharing,total comp: $100k,,,1.0,medium col,$86k,86000.0,USD,1.0,86000.0
2021,1,research associate,4 months,toronto,63k cad,marketing insights and analytics,"master of spatial analysis, hba in city studies, applied stats and gis",,,,,,0.3333333333333333,"toronto, canada",63k cad,63000.0,CAD,1.2946803318692046,48660.660434258134
2021,1,data scientist,1.7 years,sf bay area,$130k,biotech startup,ms statistics,one internship before this job,none,"$10k bonus, options that are of uncertain value",$140k,,1.7,"bay area, us",$130k,130000.0,USD,1.0,130000.0
2021,1,senior data analyst,1 month,san francisco,"$140,000",self-driving car,,,$10k sign on,,~$216k,,0.08333333333333333,"bay area, us","$140,000",140000.0,USD,1.0,140000.0
2021,1,senior data scientist, about 5 years,remote,150k base.,company: sales and marketing for a big tech company.,ms,prior exp: just got this offer few days back. before i worked in a start up for 3.5 years. i was the only ds in the company so responsible for everything related to data like getting requirement to model building to putting into production. before that worked as a ds for a top automaker and an it company.,bonus: 8% and 7k towards 401k.,,,,,remote,150k .,150000.0,USD,1.0,150000.0
2021,1,senior product scientist,8 months,"austin, tx","$120,000",tech,bs business admin undergrad + 3 month ds immersive bootcamp,4 years business intelligence .,none,,"~$150,000 - $160,000 .",,0.6666666666666666,"texas, us","$120,000",120000.0,USD,1.0,120000.0
2021,1,data specialist,~.5 year,chicago,"$80,000",e-commerce,bs stats,~1 year in analyst role,stock and/or recurring bonuses: $3000 eoy bonus for 2021,"total comp: $83,000",,,0.5,"chicago, us","$80,000",80000.0,USD,1.0,80000.0
2021,1,data analyst, < 1 year,"large city in midwestern us, but temp full remote","$65,000",health tech,"b.sc. and m.sc. in an unrelated stem field, post-bach  in applied math","experience: 3 years scientific research, 1 year previous experience as a data analyst",,,,,1.0,"los angeles, us","$65,000",65000.0,USD,1.0,65000.0
2020,1,senior data scientist,1 years,tennessee usa,"104,000",financial,masters in mathematics,5 years as data scientist,0,19% bonus,"~130,000",,1.0,"tennessee, us","104,000",104000.0,USD,1.0,104000.0
2020,1,data science consultant,2 years,washington dc,"$98,000",fedgov,ms/mba,"3 years data analysis, plus prior military experience",stock and/or recurring bonuses: $2000,"total comp: $100,000",,,2.0,"washington dc, us","$98,000",98000.0,USD,1.0,98000.0
2020,1,softwate engineer,1 and half years,lebanon,"15,000",digital company,bachelor degree,worked at 2 banks and a digital company.,0,~800,"~15,800",,1.0,lebanon,"15,000",15000.0,USD,1.0,15000.0
