date,title,tenure,location,salary,industry,education,tenure_clean,us_region,salary_usd,industry_group,education_level
2021,graduate trainee data scientist,2 months,"buckinghamshire , uk","£27,000",waste management,bsc applied mathematics,0.16666666666666666,Non-US,32427.347221082495,Other industry,Master's
2021,head of machine learning,< 1 year,germany,"$120,000",startup,phd,1.0,Non-US,120000.0,Tech,PhD
2021,process data scientist,7 months,sf bay area,$150k,semiconductors,cheme phd,0.5833333333333334,West coast,150000.0,Manufacturing,PhD
2021,decision scientist,8 months,office  denver,"$100,000",late stage tech startup,ma economics,0.6666666666666666,West coast,100000.0,Tech,Master's
2021,ai engineer,3 months,"london, uk","£50,000",consulting,"msc software development, beng mechanical engineering",0.25,Non-US,60050.643002004625,Professional services,Master's
2021,data scientist soon to be machine learning engineer,1 year,,"$80,000 -> tbd",health tech startup,"bs computational data science, minor in statistics",1.0,Non-US,80000.0,Healthcare,Bachelor's
2021,senior product analyst,3.5 years,"bay area, ca",$180k,youtube,level: l5,3.5,West coast,180000.0,Big Tech (FAANG),High School
2021,data science manager,> 5 years,hcol,~250k,large public tech company,"phd, math",5.0,Non-US,250000.0,Tech,PhD
2021,senior data analyst,5 mo. 4.5 yrs total,company: pnw. me: ohio,110k,sas saas startup,bachelors in mathematics,0.45,Midwest,110000.0,Tech,Master's
2021,senior data scientist, 3 years,"london, uk but fully remote","$92,000 approximately",logistics,bsc mathematics,3.0,Non-US,92000.0,Transport & Logistics,Master's
2021,incoming data analyst developer,"4 month internship / training, then na",fully remote,$75k,accounting / tax consulting,finishing msc,0.3333333333333333,Non-US,75000.0,Professional services,Master's
2021,director of data science,1 year,minnesota,"$185,000",health/wellness,phd,1.0,Midwest,185000.0,Healthcare,PhD
2021,data analyst, starting shortly,"florida, usa","$125,000",finance/investment,bs/ms in industrial engineering,,Southeast,125000.0,Finance,Master's
2021,data scientist, ~2y,bay area,$160k,faang,bs+ms,2.0,West coast,160000.0,Big Tech (FAANG),Master's
2021,data scientist,< 1 year,lcol,$120k,big n,"stem undergrad, analytics masters",1.0,Non-US,120000.0,Tech,Master's
2021,quantitative modeling data science,4ish years,pittsburgh pa,$115k,finance / banking,ms applied math,4.0,Northeast,115000.0,Finance,Master's
2021,senior machine learning engineer, 1 year,"office in sf, i work remote",200k,"company: publicly traded tech, probably a tier below faang",ms statistics,1.0,West coast,200000.0,Tech,Master's
2021,senior data scientist,< 1 year at this position. held 3 ds positions at 3 companies in 2 years.,nyc / remote,205k,tech,ba poli sci,1.0,Northeast,205000.0,Tech,Bachelor's
2021,lead data scientist,1.5 years,"são paulo, brazil",$55k usd,tech/o&g/mining/iot/other pre-ipo spinoff .,"bs geological engineering, ms mechanical engineering",1.5,Non-US,55000.0,"Oil, gas & mining",Master's
2021,analytics engineering manager,"1 year current role; 6 prior years along data analyst track, ending at sr data analyst","pacific northwest, usa",$150k,saas,bs economics; ba int’l studies,1.0,West coast,150000.0,Tech,Bachelor's
2021,data scientist,4 years at company,montreal,95k$,oil and gas,bachelor in mechanical engineering,4.0,Non-US,95000.0,"Oil, gas & mining",Bachelor's
2021,data scientist,2 years,sf/bay area,$187k + bonus,"startup, tech.",none.  i got in before the ds title was used in silicon valley.,2.0,West coast,187000.0,Tech,High School
2021,senior data scientist applied scientist,offer,nyc,175k,e-commerce,"bs, ms in math/stats",,Northeast,175000.0,Retail & e-commerce,Master's
2021,vp of data science,"6 years: 1 @ vp, 2 @ director, 2 @ manager, 1 @ data scientist",boston area. wfh optional. i go in 1-2 days/week.,"$200k base, $40k bonus target","marketing agency, ~500 people",phd in stem field. ba in physics.,6.0,Northeast,200000.0,Professional services,PhD
2021,data analyst,accepting in a couple of days,"london, uk",50k gbp,fintech,bsc maths with stats,,Non-US,60050.643002004625,Tech,Master's
2021,data scientist,3 years,midwest but i wfh,$88.5k,healthcare,"b.s. physics, working on m.s. computer science",3.0,Midwest,88500.0,Healthcare,Master's
2021,solutions architect,6 months,wfh,"$160,000",consulting,"masters in business intelligence, undergrad in economics with a concentration in computer science",0.5,Non-US,160000.0,Professional services,Master's
2021,ds quant,1.5 years,washington dc,$150k,finance,ms ds,1.5,Northeast,150000.0,Finance,Master's
2021,staff swe machine learning,6 months,sf bay area,$300k,tech,phd,0.5,West coast,300000.0,Tech,PhD
2021,product analyst,2 mo,"seattle, wa",$125k,fintech unicorn,,0.16666666666666666,West coast,125000.0,Tech,
2021,date engineer,9 months,"manchester, uk","£44,000",finance,masters,0.75,Non-US,52844.565841764066,Finance,Master's
2021,data analyst,1year +,singapore,"$40,320",bank,bsc finance & economy,1.0,Non-US,40320.0,Finance,Bachelor's
2021,product data scientist,2 years,toronto,"$113,000 cad",fin tech,ba sociology,2.0,Non-US,87280.23220747888,Tech,Bachelor's
2021,head of <program related to data science>,6 yoe in tech + 2 in a startup in a pseudo technical role,"upper midwest, usa, medium cost of living city",$150k,500-employee saas company,master's in computer science,6.0,Midwest,150000.0,Tech,Master's
2021,data analyst,1yr,south carolina,$70k,secured loan financing,bs data science,1.0,Southeast,70000.0,Finance,Bachelor's
2021,hpc systems engineer i build the stuff your science runs on i have been an infrastructure architect in past lives,less than a year,"ny-based, remote. i never actually go in.","$186,000",healthcare ai startup,college dropout,,Northeast,186000.0,Healthcare,High School
2021,economist senior data scientist,3 months,"london, uk","£84,000",american well-known  tech firm,"msc economics, msc data science",0.25,Non-US,100885.08024336776,Tech,Master's
2021,data science research assistant,2 months,north of spain,15k€,university,currently involved on a degree,0.16666666666666666,Non-US,15367.5,Education,High School
2021,senior director,<1 year,remote,$250k,tech,phd in engineering,1.0,Non-US,250000.0,Tech,PhD
2021,quantitative ux researcher,5 years,sf bay area/nyc,$160k,google,b.s. mathematics,5.0,Northeast,160000.0,Big Tech (FAANG),Master's
2021,data scientist,3 years,london,"₤75,000",legal tech,msc,3.0,Non-US,75000.0,Tech,Master's
